##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-14 10:59:10
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                   1.55000000E+02    0.00000000E+00    1.17994102E-01    2.03697864E-01    0.00000000E+00    0.00000000E+00   -7.13527072E+00   -1.00000000E+03   -7.13527072E+00   
                   1.60000000E+02    0.00000000E+00    9.38055985E-02    1.62248211E-01    0.00000000E+00    0.00000000E+00   -9.11554141E+00   -1.00000000E+03   -9.11554141E+00   
                   1.65000000E+02    0.00000000E+00    6.99620343E-02    1.21197814E-01    0.00000000E+00    0.00000000E+00   -1.16526532E+01   -1.00000000E+03   -1.16526532E+01   
                   1.70000000E+02    0.00000000E+00    4.64371148E-02    8.05390523E-02    0.00000000E+00    0.00000000E+00   -1.52049604E+01   -1.00000000E+03   -1.52049604E+01   
                   1.75000000E+02    0.00000000E+00    2.31537478E-02    4.01862249E-02    0.00000000E+00    0.00000000E+00   -2.12451156E+01   -1.00000000E+03   -2.12451156E+01   
                   1.80000000E+02    0.00000000E+00    3.24614777E-17    5.63547588E-17    0.00000000E+00    0.00000000E+00   -3.18308578E+02   -1.00000000E+03   -3.18308578E+02   
                  -1.80000000E+02    5.00000000E+00   -3.24614777E-17   -5.63547588E-17    0.00000000E+00    0.00000000E+00   -3.18308578E+02   -1.00000000E+03   -3.18308578E+02   
                  -1.75000000E+02    5.00000000E+00   -2.31537552E-02   -4.01862211E-02   -4.33680869E-19    0.00000000E+00   -2.12451155E+01   -3.61828172E+02   -2.12451155E+01   
                  -1.70000000E+02    5.00000000E+00   -4.64371382E-02   -8.05390400E-02    0.00000000E+00    8.67361738E-19   -1.52049603E+01   -3.55807572E+02   -1.52049603E+01   
                  -1.65000000E+02    5.00000000E+00   -6.99620679E-02   -1.21197796E-01    8.67361738E-19    0.00000000E+00   -1.16526531E+01   -3.55807572E+02   -1.16526531E+01   
                  -1.60000000E+02    5.00000000E+00   -9.38056257E-02   -1.62248195E-01   -8.67361738E-19   -1.73472348E-18   -9.11554142E+00   -3.48817872E+02   -9.11554142E+00   
                  -1.55000000E+02    5.00000000E+00   -1.17994107E-01   -2.03697860E-01    1.73472348E-18    0.00000000E+00   -7.13527075E+00   -3.49786973E+02   -7.13527075E+00   
                  -1.50000000E+02    5.00000000E+00   -1.42489045E-01   -2.45455029E-01   -1.73472348E-18    0.00000000E+00   -5.51085217E+00   -3.49786973E+02   -5.51085217E+00   
                  -1.45000000E+02    5.00000000E+00   -1.67176138E-01   -2.87311855E-01    0.00000000E+00    0.00000000E+00   -4.13811354E+00   -1.00000000E+03   -4.13811354E+00   
                  -1.40000000E+02    5.00000000E+00   -1.91858180E-01   -3.28933968E-01   -1.73472348E-18   -3.46944695E-18   -2.95768447E+00   -3.42797272E+02   -2.95768447E+00   
                  -1.35000000E+02    5.00000000E+00   -2.16253081E-01   -3.69857927E-01    1.73472348E-18    3.46944695E-18   -1.93379051E+00   -3.42797272E+02   -1.93379051E+00   
                  -1.30000000E+02    5.00000000E+00   -2.39997960E-01   -4.09498037E-01    0.00000000E+00    0.00000000E+00   -1.04420355E+00   -1.00000000E+03   -1.04420355E+00   
                  -1.25000000E+02    5.00000000E+00   -2.62659989E-01   -4.47163489E-01    0.00000000E+00    0.00000000E+00   -2.74935540E-01   -1.00000000E+03   -2.74935540E-01   
                  -1.20000000E+02    5.00000000E+00   -2.83754099E-01   -4.82085996E-01    1.73472348E-18    0.00000000E+00    3.82801316E-01   -3.49786973E+02    3.82801316E-01   
                  -1.15000000E+02    5.00000000E+00   -3.02767029E-01   -5.13457032E-01   -3.46944695E-18   -3.46944695E-18    9.34447740E-01   -3.40756073E+02    9.34447740E-01   
                  -1.10000000E+02    5.00000000E+00   -3.19186367E-01   -5.40472638E-01    1.73472348E-18    0.00000000E+00    1.38328105E+00   -3.49786973E+02    1.38328105E+00   
                  -1.05000000E+02    5.00000000E+00   -3.32532503E-01   -5.62382558E-01    0.00000000E+00    1.73472348E-18    1.73119563E+00   -3.49786973E+02    1.73119563E+00   
                  -1.00000000E+02    5.00000000E+00   -3.42390802E-01   -5.78539594E-01    0.00000000E+00    0.00000000E+00    1.97922558E+00   -1.00000000E+03    1.97922558E+00   
                  -9.50000000E+01    5.00000000E+00   -3.48440965E-01   -5.88444558E-01    4.33680869E-19    8.67361738E-19    2.12789272E+00   -3.54838472E+02    2.12789272E+00   
                  -9.00000000E+01    5.00000000E+00   -3.50480592E-01   -5.91782321E-01    0.00000000E+00   -3.85185989E-34    2.17742820E+00   -6.62858168E+02    2.17742820E+00   
                  -8.50000000E+01    5.00000000E+00   -3.48440467E-01   -5.88445139E-01    0.00000000E+00    0.00000000E+00    2.12789585E+00   -1.00000000E+03    2.12789585E+00   
                  -8.00000000E+01    5.00000000E+00   -3.42389830E-01   -5.78540730E-01    0.00000000E+00    0.00000000E+00    1.97923182E+00   -1.00000000E+03    1.97923182E+00   
                  -7.50000000E+01    5.00000000E+00   -3.32531102E-01   -5.62384200E-01    8.67361738E-19    0.00000000E+00    1.73120493E+00   -3.55807572E+02    1.73120493E+00   
                  -7.00000000E+01    5.00000000E+00   -3.19184601E-01   -5.40474714E-01    0.00000000E+00    0.00000000E+00    1.38329336E+00   -1.00000000E+03    1.38329336E+00   
                  -6.50000000E+01    5.00000000E+00   -3.02764976E-01   -5.13459456E-01   -1.73472348E-18    3.46944695E-18    9.34462971E-01   -3.42797272E+02    9.34462971E-01   
                  -6.00000000E+01    5.00000000E+00   -2.83751844E-01   -4.82088672E-01    1.73472348E-18    3.46944695E-18    3.82819366E-01   -3.42797272E+02    3.82819366E-01   
                  -5.50000000E+01    5.00000000E+00   -2.62657621E-01   -4.47166317E-01    0.00000000E+00    3.46944695E-18   -2.74914796E-01   -3.43766373E+02   -2.74914796E-01   
